POSITIONS,,,,,,,,,,,,,
,,,,,,,,,,,,,
Square Off,Leg,,,,,,,,,,,,
Strategy Type, Intraday,,,,,,,,,,,,
Move SL to Cost,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Lot Size, Action Type, Segment, Option Type, Target Profit, Stop Loss, Index, Expiry Type,,,,,,
1,SELL,Options,PUT,,50 pts,Banknifty,Weekly,,,,,,
1,SELL,Options,CALL,,50 pts,Banknifty,Weekly,,,,,,
,,,,,,,,,,,,,
From Date,Thu Jul 16 2020,,,,,,,,,,,,
To Date,Fri Jul 16 2021,,,,,,,,,,,,
Entry Time,09:59,,,,,,,,,,,,
Exit Time,14:55,,,,,,,,,,,,
,,,,,,,,,,,,,
Target Profit, ,,, ,,,,,,,,,
 Stop Loss,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
11 Sep 2020 (Fri),-2500,771/-2500,43.75 (0.19%),21.32 - 20.83,-,-24.10 (22383.80-22359.70),-1250.00 (363-413 = 50.00) 22400PE 13:10:00,-1250.00 (352-402 = 50.00) 22400CE 10:55:00,,,,,
14 Sep 2020 (Mon),2213,3112/-149,203.4 (0.9%),20.63 - 21.19,Day Open > PDH,-386.75 (22553.75-22167.00),-1250.00 (282.85-332.85 = 50.00) 22600PE 13:15:00,3463.75 (329.05-190.5 = -138.55) 22600CE,,,,,
15 Sep 2020 (Tue),-2500,527/-2500,101.55 (0.46%),20.82 - 20.65,-,196.60 (22236.00-22432.60),-1250.00 (281.45-331.45 = 50.00) 22200PE 10:05:00,-1250.00 (337.3-387.3 = 50.00) 22200CE 14:30:00,,,,,
16 Sep 2020 (Wed),-2500,928/-2500,10.65 (0.05%),20.39 - 19.75,-,146.20 (22461.60-22607.80),-1250.00 (224.7-274.7 = 50.00) 22500PE 11:12:00,-1250.00 (203.5-253.5 = 50.00) 22500CE 14:15:00,,,,,
17 Sep 2020 (Thu),247,1095/-2023,-221.55 (-0.98%),19.89 - 20.15,-,-29.05 (22378.80-22349.75),1497.50 (112.05-52.15 = -59.90) 22400PE,-1250.00 (102-152 = 50.00) 22400CE 10:40:00,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
18 Sep 2020 (Fri),2706,3643/-1066,119 (0.53%),19.54 - 20.31,-,-411.10 (22404.45-21993.35),-1250.00 (320.8-370.8 = 50.00) 22400PE 10:41:00,3956.25 (384.65-226.4 = -158.25) 22400CE,,,,,
21 Sep 2020 (Mon),-2500,1107/-2500,-47.65 (-0.22%),20.3 - 21.81,-,-439.55 (21914.10-21474.55),-1250.00 (321-371 = 50.00) 21900PE 13:39:00,-1250.00 (345-395 = 50.00) 21900CE 10:23:00,,,,,
22 Sep 2020 (Tue),-2500,2151/-2500,78.45 (0.37%),22.7 - 21.71,-,-145.15 (21228.05-21082.90),-1250.00 (291.35-341.35 = 50.00) 21200PE 14:37:00,-1250.00 (359.2-409.2 = 50.00) 21200CE 10:05:00,,,,,
23 Sep 2020 (Wed),-1,2332/-425,211.7 (1%),20.68 - 21.21,-,4.75 (21156.10-21160.85),-1250.00 (210-260 = 50.00) 21200PE 13:41:00,1248.75 (197-147.05 = -49.95) 21200CE,,,,,
24 Sep 2020 (Thu),1365,1367/-488,-279.7 (-1.32%),21.68 - 23.11,-,-295.25 (20892.35-20597.10),-1250.00 (109.45-159.45 = 50.00) 20900PE 10:28:00,2615.00 (105.45-0.85 = -104.60) 20900CE,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
25 Sep 2020 (Fri),-2500,325/-2500,283.95 (1.39%),22.18 - 20.87,-,441.15 (20560.60-21001.75),-1250.00 (424-474 = 50.00) 20600PE 10:18:00,-1250.00 (366.05-416.05 = 50.00) 20600CE 12:14:00,,,,,
28 Sep 2020 (Mon),3196,3557/-97,169.7 (0.81%),20.73 - 19.81,Day Open > PDH,278.05 (21340.65-21618.70),4446.25 (326.4-148.55 = -177.85) 21300PE,-1250.00 (362.95-412.95 = 50.00) 21300CE 10:49:00,,,,,
29 Sep 2020 (Tue),488,1666/-1913,105.4 (0.49%),19.37 - 19.89,Day Open > PDH,-59.45 (21467.95-21408.50),-1250.00 (272.2-322.2 = 50.00) 21500PE 10:50:00,1738.75 (257.8-188.25 = -69.55) 21500CE,,,,,
30 Sep 2020 (Wed),1515,2012/-455,-6.05 (-0.03%),20.09 - 19.57,-,287.55 (21143.25-21430.80),2765.00 (166.5-55.9 = -110.60) 21100PE,-1250.00 (196-246 = 50.00) 21100CE 10:29:00,,,,,
1 Oct 2020 (Thu),1938,1941/-248,233.45 (1.09%),18.74 - 18.39,Day Open > PDH,366.75 (21859.30-22226.05),3188.75 (128.25-0.7 = -127.55) 21900PE,-1250.00 (87.15-137.15 = 50.00) 21900CE 10:10:00,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
