POSITIONS,,,,,,,,,,,,,
,,,,,,,,,,,,,
Square Off,Leg,,,,,,,,,,,,
Strategy Type, Intraday,,,,,,,,,,,,
Move SL to Cost,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Lot Size, Action Type, Segment, Option Type, Target Profit, Stop Loss, Index, Expiry Type,,,,,,
1,SELL,Options,PUT,,30 %,Banknifty,Weekly,,,,,,
1,SELL,Options,CALL,,30 %,Banknifty,Weekly,,,,,,
,,,,,,,,,,,,,
From Date,Thu Jul 16 2020,,,,,,,,,,,,
To Date,Fri Jul 16 2021,,,,,,,,,,,,
Entry Time,09:59,,,,,,,,,,,,
Exit Time,14:55,,,,,,,,,,,,
 Stop Loss,,,,,,,,,,,,,
Target Profit, ,,, ,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
25 Sep 2020 (Fri),3085,3498/-1269,283.95 (1.39%),22.18 - 20.87,-,441.15 (20560.60-21001.75),5831.25 (424-190.75 = -233.25) 20600PE,-2745.50 (366.05-475.87 = 109.82) 20600CE 12:20:00,,,,,
28 Sep 2020 (Mon),1724,2085/-1094,169.7 (0.81%),20.73 - 19.81,Day Open > PDH,278.05 (21340.65-21618.70),4446.25 (326.4-148.55 = -177.85) 21300PE,-2722.00 (362.95-471.83 = 108.88) 21300CE 11:26:00,,,,,
29 Sep 2020 (Tue),2620,2806/-119,105.4 (0.49%),19.37 - 19.89,Day Open > PDH,-59.45 (21467.95-21408.50),881.25 (272.2-236.95 = -35.25) 21500PE,1738.75 (257.8-188.25 = -69.55) 21500CE,,,,,
30 Sep 2020 (Wed),1294,1792/-675,-6.05 (-0.03%),20.09 - 19.57,-,287.55 (21143.25-21430.80),2765.00 (166.5-55.9 = -110.60) 21100PE,-1470.00 (196-254.8 = 58.80) 21100CE 10:29:00,,,,,
1 Oct 2020 (Thu),2535,2538/0,233.45 (1.09%),18.74 - 18.39,Day Open > PDH,366.75 (21859.30-22226.05),3188.75 (128.25-0.7 = -127.55) 21900PE,-653.75 (87.15-113.3 = 26.15) 21900CE 10:01:00,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
5 Oct 2020 (Mon),1754,2913/-937,106.1 (0.48%),19.74 - 19.67,Day Open > PDH,-292.55 (22706.05-22413.50),-2559.00 (341.2-443.56 = 102.36) 22700PE 11:40:00,4313.75 (364.95-192.4 = -172.55) 22700CE,,,,,
6 Oct 2020 (Tue),1794,2081/-130,302.1 (1.35%),19.74 - 19.69,-,256.60 (22580.40-22837.00),3738.75 (274.5-124.95 = -149.55) 22600PE,-1944.75 (259.3-337.09 = 77.79) 22600CE 14:34:00,,,,,
7 Oct 2020 (Wed),-651,780/-2052,-16.75 (-0.07%),20.1 - 20.11,-,-19.25 (22957.75-22938.50),-1770.50 (236.05-306.87 = 70.82) 23000PE 11:02:00,1118.75 (208.7-163.95 = -44.75) 23000CE,,,,,
8 Oct 2020 (Thu),-1795,2638/-1794,185.45 (0.81%),20.32 - 20.4,Day Open > PDH,-99.65 (23262.40-23162.75),-1086.75 (144.9-188.37 = 43.47) 23300PE 14:35:00,-708.50 (94.45-122.79 = 28.34) 23300CE 11:10:00,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
9 Oct 2020 (Fri),2842,3366/-507,121.25 (0.52%),20.86 - 20.38,-,560.80 (23264.70-23825.50),5708.75 (424.5-196.15 = -228.35) 23300PE,-2866.00 (382.15-496.79 = 114.64) 23300CE 10:43:00,,,,,
